Remaining Distance to Goal: 79.77 meters
Waypoint_X,Waypoint_Y,Waypoint_Z, Road_ID, Lane_ID
-44.10,-22.87,0.06,47,2
-44.10,-22.87,0.06,47,2
-44.11,-24.87,0.06,47,2
-44.12,-26.87,0.06,47,2
-44.14,-28.87,0.06,47,2
-44.15,-30.87,0.06,47,2
-44.16,-32.87,0.06,47,2
-44.17,-34.87,0.06,47,2
-44.18,-36.87,0.06,47,2
-44.19,-38.87,0.06,47,2
-44.21,-40.87,0.06,47,2
-44.22,-42.87,0.06,47,2
-44.23,-44.87,0.06,47,2
-44.24,-46.87,0.06,47,2
-44.25,-48.87,0.06,47,2
-44.27,-50.87,0.06,47,2
-44.28,-52.87,0.06,47,2
-44.29,-54.87,0.06,47,2
-44.30,-56.87,0.06,47,2
-44.31,-58.87,0.06,47,2
-44.32,-60.87,0.06,47,2
-44.34,-62.87,0.06,47,2
-44.35,-64.87,0.06,47,2
-44.36,-66.87,0.06,47,2
-44.37,-68.87,0.06,47,2
-44.38,-70.87,0.06,47,2
-44.41,-74.69,0.06,1174,1
-44.41,-74.69,0.06,1174,1
-44.42,-76.69,0.06,1174,1
-44.36,-78.44,0.06,1174,1
-43.97,-80.01,0.06,1174,1
-43.25,-81.45,0.05,1174,1
-42.25,-82.69,0.01,1174,1
-41.00,-83.63,0.00,1174,1
-39.57,-84.23,0.00,1174,1
-38.03,-84.45,0.00,1174,1
-35.61,-84.45,0.00,6,2
-35.61,-84.45,0.00,6,2
-23.60,-87.93,0.00,6,1
-23.60,-87.93,0.00,6,1
-21.60,-87.93,0.00,6,1
-19.60,-87.92,0.00,6,1
-17.60,-87.92,0.00,6,1
-15.60,-87.92,0.00,6,1
-13.60,-87.91,0.00,6,1
-11.60,-87.91,0.00,6,1
-9.60,-87.91,0.00,6,1
-7.60,-87.91,0.00,6,1
-5.60,-87.90,0.00,6,1
-3.60,-87.90,0.00,6,1
-1.60,-87.90,0.00,6,1
0.40,-87.89,0.00,6,1
2.40,-87.89,0.00,6,1
4.40,-87.89,0.00,6,1
6.40,-87.88,0.00,6,1
8.40,-87.88,0.00,6,1
10.40,-87.88,0.00,6,1
12.40,-87.88,0.00,6,1
14.40,-87.87,0.00,6,1
16.40,-87.87,0.00,6,1
18.76,-87.87,0.00,1339,1
18.76,-87.87,0.00,1313,1
20.76,-87.86,0.00,1313,1
22.75,-87.86,0.00,1313,1
24.73,-87.83,0.00,1313,1
26.71,-87.79,0.00,1313,1
28.70,-87.73,0.00,1313,1
30.68,-87.65,0.00,1313,1
32.69,-87.56,0.00,1313,1
34.72,-87.51,0.00,1313,1
36.75,-87.48,0.00,1313,1
38.77,-87.49,0.00,1313,1
40.80,-87.53,0.00,1313,1
44.77,-87.63,0.00,33,1
44.77,-87.63,0.00,33,1
56.80,-84.43,0.00,33,2
56.80,-84.43,0.00,33,2
58.56,-84.41,0.00,33,2
60.32,-84.32,0.00,33,2
62.08,-84.15,0.00,33,2
63.82,-83.89,0.00,33,2
65.55,-83.56,0.00,33,2
67.27,-83.16,0.00,33,2
68.97,-82.67,0.00,33,2
70.64,-82.11,0.00,33,2
72.28,-81.48,0.00,33,2
73.90,-80.77,0.00,33,2
75.48,-79.99,0.00,33,2
77.02,-79.14,0.00,33,2
78.53,-78.22,0.00,33,2
79.99,-77.23,0.00,33,2
81.41,-76.18,0.00,33,2
82.77,-75.06,0.00,33,2
84.09,-73.89,0.00,33,2
85.35,-72.66,0.00,33,2
86.56,-71.37,0.00,33,2
87.70,-70.03,0.00,33,2
88.78,-68.64,0.00,33,2
89.81,-67.20,0.00,33,2
90.76,-65.72,0.00,33,2
91.65,-64.19,0.00,33,2
92.46,-62.63,0.00,33,2
93.21,-61.03,0.00,33,2
93.88,-59.40,0.00,33,2
94.48,-57.74,0.00,33,2
95.01,-56.06,0.00,33,2
95.46,-54.35,0.00,33,2
95.83,-52.63,0.00,33,2
96.12,-50.89,0.00,33,2
96.33,-49.14,0.00,33,2
96.47,-47.38,0.00,33,2
96.52,-45.62,0.00,33,2
96.52,-43.68,0.00,33,2
96.51,-41.68,0.00,33,2
96.51,-39.68,0.00,33,2
96.50,-37.68,0.00,33,2
96.50,-35.68,0.00,33,2
96.49,-33.68,0.00,33,2
96.49,-31.68,0.00,33,2
96.48,-29.68,0.00,33,2
96.47,-27.68,0.00,33,2
96.47,-25.68,0.00,33,2
96.46,-23.68,0.00,33,2
96.46,-21.68,0.00,33,2
96.45,-19.68,0.00,33,2
96.44,-17.68,0.00,33,2
96.44,-15.68,0.00,33,2
96.43,-13.22,0.00,32,2
96.43,-13.22,0.00,32,2
96.41,-11.33,0.00,742,1
96.43,-12.27,0.00,790,2
96.43,-12.27,0.00,742,1
96.32,-10.57,0.00,742,1
95.88,-9.02,0.00,742,1
95.11,-7.61,0.00,742,1
94.07,-6.43,0.00,742,1
92.80,-5.60,0.00,742,1
91.35,-5.13,0.00,742,1
89.07,-5.05,0.00,39,-2
89.07,-5.05,0.00,39,-2
87.07,-5.06,0.00,39,-2
85.07,-5.07,0.00,39,-2
83.07,-5.07,0.00,39,-2
81.07,-5.08,0.00,39,-2
79.07,-5.09,0.00,39,-2
77.07,-5.10,0.00,39,-2
75.07,-5.11,0.00,39,-2
73.07,-5.12,0.00,39,-2
71.07,-5.13,0.00,39,-2
69.07,-5.14,0.00,39,-2
67.07,-5.14,0.00,39,-2
65.07,-5.15,0.00,39,-2
63.07,-5.16,0.00,39,-2
61.07,-5.17,0.00,39,-2
59.07,-5.18,0.00,39,-2
57.07,-5.19,0.00,39,-2
55.07,-5.20,0.00,39,-2
53.07,-5.20,0.00,39,-2
51.07,-5.21,0.00,39,-2
49.07,-5.22,0.00,39,-2
47.07,-5.23,0.00,39,-2
45.07,-5.24,0.00,39,-2
42.41,-5.25,0.00,1615,-1
42.41,-5.25,0.00,1693,-1
40.54,-5.27,0.00,1693,-1
39.05,-5.59,0.00,1693,-1
37.71,-6.30,0.00,1693,-1
36.60,-7.34,0.00,1693,-1
35.72,-8.70,0.00,1693,-1
35.14,-10.22,0.00,1693,-1
34.90,-12.54,0.00,25,2
34.90,-12.54,0.00,25,2
34.91,-14.52,0.00,25,2
34.93,-16.50,0.00,25,2
34.96,-18.48,0.00,25,2
34.99,-20.46,0.00,25,2
35.04,-22.44,0.00,25,2
35.09,-24.42,0.00,25,2
35.14,-26.42,0.00,25,2
